track_name,artist_name,album_name,popularity
Rewrite The Stars,James Arthur,The Greatest Showman: Reimagined (Deluxe),72
"How Far I'll Go - From ""Moana""",Alessia Cara,"How Far I'll Go (From ""Moana"")",59
Heavy,Anne-Marie,Speak Your Mind (Deluxe),44
Scars To Your Beautiful,Alessia Cara,Know-It-All (Deluxe),70
like my father,Jax,like my father,61
Love Someone,Lukas Graham,Love Someone,60
Those Eyes,New West,Based On A True Story...,82
A Thousand Miles,Vanessa Carlton,Be Not Nobody,78
golden hour,JVKE,this is what ____ feels like (Vol. 1-4),79
drunk text,Henry Moodie,in all of my lonely nights,78
Night Changes,One Direction,FOUR (Deluxe),86
End of Beginning,Djo,DECIDE,89
Forever Young - 2019 Remaster,Alphaville,Forever Young (Super Deluxe Edition; 2019 Remaster),65
Name,The Goo Goo Dolls,A Boy Named Goo,72
ocean eyes,Billie Eilish,dont smile at me,83
93 Million Miles,Jason Mraz,Love Is a Four Letter Word,65
Enchanted (Taylor's Version),Taylor Swift,Speak Now (Taylor's Version),78
Missing You (with Ashe),Stephen Sanchez,Missing You,51
Bored,Billie Eilish,Bored,79
Beautiful Things,Benson Boone,Fireworks & Rollerblades,88
Older,Sasha Alex Sloan,Older,68
Colorblind,Rachel Grae,Journal No.1,50
In The Stars,Benson Boone,In The Stars,75
Sunsetz,Cigarettes After Sex,Cigarettes After Sex,84
All of the Stars,Ed Sheeran,The Fault In Our Stars: Music From The Motion Picture,59
Never Been in Love,Haley Mae Campbell,Never Been in Love,42
Come and Get Your Love - Single Version,Redbone,Come and Get Your Love,80
Safe and Sound,Capital Cities,In A Tidal Wave of Mystery,84
"Dear Maria, Count Me In",All Time Low,"So Wrong, It's Right",79
Paradise,Coldplay,Mylo Xyloto,84
I'm Yours,Jason Mraz,We Sing. We Dance. We Steal Things. (Bonus Tracks Version),80
Before The Day Is Over,Joji,SMITHEREENS,59
You & Me,James TW,Chapters,61
Hero,Enrique Iglesias,Escape,67
Make You Mine,PUBLIC,Make You Mine,71
Never Gonna Give You Up - Pianoforte,Rick Astley,The Best of Me,23
Every Breath You Take,The Police,Synchronicity (Remastered 2003),90
Duvet,bôa,Twilight,84
I Wanna Grow Old with You,Westlife,World of Our Own (Expanded Edition),58
Apocalypse,Cigarettes After Sex,Cigarettes After Sex,89
Somebody's Me,Enrique Iglesias,Insomniac (New International Version Spanish),51
Last Christmas,Wham!,LAST CHRISTMAS,74
How To Live,Brainheart,How To Live,32
Close To You - Acoustic,Brainheart,Close To You,35
Lover,Taylor Swift,Lover,86
the grudge,Olivia Rodrigo,GUTS,75
Glimpse of Us,Joji,SMITHEREENS,82
you were good to me,Jeremy Zucker,brent,69
I Won't Give Up,Jason Mraz,Love Is a Four Letter Word,69
Country Roads,The Gypsy Queens,The Gypsy Queens,50
comethru,Jeremy Zucker,"summer,",73
this is how you fall in love,Jeremy Zucker,brent ii,67
You Are the Reason,Emma Heesters,"Cover Sessions, Vol. 9",41
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",84
Anti-Hero,Taylor Swift,Midnights,81
Beggin (original version),Madcon,So Dark The Con Of Man,70
SOMEBODY LIKE YOU,Citizen,SOMEBODY LIKE YOU,40
Rewrite The Stars,Zac Efron,Rewrite The Stars,75
Outsider,Rachel Grae,Journal No.1,56
Grenade,Bruno Mars,Doo-Wops & Hooligans,77
Epiphany,Emma Heesters,Epiphany,21
Daylight,David Kushner,The Dichotomy,83
At My Worst,Pink Sweat$,PINK PLANET,69
Afterglow,Ed Sheeran,Afterglow,68
Down In My Heart,The Martial,Down In My Heart,30
Little Bit More,Suriel Hess,Little Bit More,60
Love Story (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version),77
I Wanna Be Yours,Arctic Monkeys,AM,91
Ruin Me,Elevator Boys,Ruin Me,40
Marry You,Bruno Mars,Doo-Wops & Hooligans,77
Stitches,Shawn Mendes,Handwritten,84
you were there for me,Henry Moodie,in all of my lonely nights,63
Secret Love Song (feat. Jason Derulo),Little Mix,Get Weird (Expanded Edition),77
Hero (feat. Christina Perri),Cash Cash,"Blood, Sweat & 3 Years",64
Our Song,Anne-Marie,Our Song,57
pick up the phone,Henry Moodie,in all of my lonely nights,65
eighteen,Henry Moodie,eighteen,48
7 Years,Lukas Graham,Lukas Graham,83
Point of View,Zero Venture,Point of View,36
Locket,John Michael Howell,Locket,30
Good To Be,Mark Ambor,Rockwood,68
Love You Right,Abigail Fierce,Love You Right,20
Christmas Lights,Zach Seabaugh,Christmas Lights,46
When the World is Ending,Divine Sweater,Down Deep (A Nautical Apocalypse),31
Heat Waves,Glass Animals,Dreamland,85
Rocketship,Llunr,Rocketship,48
Cupid - Twin Version,FIFTY FIFTY,The Beginning,74
Strawberries & Cigarettes,Troye Sivan,Strawberries & Cigarettes,75
Hurts So Good,Astrid S,Leave It Beautiful (Complete),71
Don't Say,Hoang,Don't Say,43
Million Days,SABAI,Million Days,60
Good in My Shoes,Jordyn Sugar,Good in My Shoes,16
Lights Out,Rick Astley,The Best of Me,18
Girl in the Mirror,Abigail Fierce,Girl in the Mirror,30
Barcelona,Ed Sheeran,÷ (Deluxe),62
"I Choose - From The Netflix Original Film ""The Willoughbys""",Alessia Cara,I Choose (From The Netflix Original Film The Willoughbys),56
"I miss you, I’m sorry",Gracie Abrams,minor,82
The Night We Met,Lord Huron,Strange Trails,90
A Million Ways,Rich McFeather,A Million Ways,21
Pretty Girl,Maggie Lindemann,Pretty Girl,61
